Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-CV-7255,0.415,0.194,0.275
TCGA-CV-7263,0.463,0.364,0.627
TCGA-CV-7406,0.495,0.334,0.654
TCGA-CV-7407,0.543,0.422,1.003
TCGA-CV-7414,0.337,0.134,0.136
TCGA-CV-7415,0.42,0.343,0.495
TCGA-CV-7416,0.679,0.234,0.99
TCGA-CV-7418,0.267,0.202,0.148
TCGA-CV-7421,0.324,0.409,0.392
TCGA-CV-7422,0.384,0.832,1.037
TCGA-CV-7423,0.135,0.275,0.086
TCGA-CV-7424,0.109,0.345,0.084
TCGA-CV-7429,0.263,0.445,0.318
TCGA-CV-7430,0.182,0.159,0.071
TCGA-CV-7432,0.693,0.283,1.278
TCGA-CV-7433,0.461,1.292,2.211
TCGA-CV-7434,0.34,0.188,0.194
TCGA-CV-7435,0.403,0.459,0.618
TCGA-CV-7437,0.487,0.197,0.375
TCGA-CV-7438,0.219,0.53,0.297
TCGA-CV-A45U,0.374,0.354,0.422
TCGA-CV-A6JD,0.229,0.324,0.193
TCGA-CV-A6JZ,0.341,0.788,0.814
TCGA-CX-7086,0.227,0.164,0.096
TCGA-CX-7219,0.443,0.468,0.744
TCGA-CX-A4AQ,0.231,0.304,0.183
TCGA-D6-6517,0.306,0.593,0.523
TCGA-D6-6823,0.307,0.339,0.301
TCGA-D6-6826,0.38,0.663,0.814
TCGA-D6-6827,0.306,0.156,0.138
TCGA-D6-A4Z9,0.402,0.538,0.721
TCGA-D6-A6EO,0.279,0.203,0.157
TCGA-D6-A6EP,0.271,0.058,0.043
TCGA-D6-A74Q,0.484,0.305,0.573
TCGA-DQ-5624,0.483,0.68,1.268
TCGA-DQ-5631,0.025,0.225,0.011
TCGA-DQ-7588,0.192,0.217,0.103
TCGA-DQ-7591,0.384,0.198,0.247
TCGA-DQ-7592,0.208,0.382,0.201
TCGA-F7-A61W,0.178,0.149,0.064
TCGA-F7-A623,0.434,0.37,0.567
TCGA-F7-A624,0.257,0.484,0.334
TCGA-HD-7229,0.076,0.329,0.054
TCGA-HD-7753,0.204,0.358,0.184
TCGA-HD-7754,0.077,0.161,0.027
TCGA-HD-7832,0.427,0.171,0.254
TCGA-HD-A633,0.023,0.306,0.014
TCGA-HD-A634,0.125,0.132,0.038
TCGA-IQ-7630,0.02,0.349,0.015
TCGA-IQ-A61E,0.078,0.521,0.088
TCGA-IQ-A61G,0.087,0.132,0.025
TCGA-IQ-A61H,0.623,0.722,2.39
TCGA-IQ-A61I,0.488,0.2,0.381
TCGA-IQ-A6SG,0.157,0.3,0.112
TCGA-KU-A66S,0.34,0.247,0.254
TCGA-KU-A66T,0.408,0.074,0.102
TCGA-MZ-A6I9,0.529,0.714,1.602
TCGA-P3-A5Q5,0.502,0.549,1.106
TCGA-P3-A5Q6,0.44,0.476,0.748
TCGA-P3-A5QA,0.443,0.478,0.758
TCGA-P3-A5QE,0.611,0.231,0.727
TCGA-P3-A5QF,0.343,0.141,0.147
TCGA-P3-A6SX,0.405,0.283,0.385
