Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-55-8091,0.414,0.363,0.513
TCGA-55-8092,0.747,0.497,2.941
TCGA-55-8096,0.581,1.114,3.083
TCGA-55-8097,0.502,0.285,0.576
TCGA-55-8203,0.653,0.443,1.668
TCGA-55-8204,0.641,0.974,3.483
TCGA-55-8205,0.675,1.016,4.227
TCGA-55-8206,0.352,0.39,0.423
TCGA-55-8207,0.476,0.271,0.492
TCGA-55-8301,0.528,1.194,2.673
TCGA-55-8302,0.673,0.667,2.743
TCGA-55-8505,0.59,1.093,3.143
TCGA-55-8506,0.8,0.333,2.658
TCGA-55-8507,0.636,0.241,0.842
TCGA-55-8508,0.598,0.567,1.685
TCGA-55-8510,0.479,0.914,1.681
TCGA-55-8511,0.72,1.07,5.508
TCGA-55-8512,0.276,0.888,0.679
TCGA-55-8513,0.097,0.564,0.121
TCGA-55-8514,0.847,0.29,3.209
TCGA-55-8614,0.625,0.527,1.757
TCGA-55-8615,0.668,0.165,0.663
TCGA-55-8616,0.652,0.43,1.613
TCGA-55-8620,0.804,0.27,2.217
TCGA-55-A48X,0.429,1.318,1.981
TCGA-55-A48Y,0.647,0.852,3.121
TCGA-55-A48Z,0.559,0.469,1.19
TCGA-55-A491,0.744,0.517,3.012
TCGA-55-A492,0.876,0.255,3.617
TCGA-55-A493,0.739,1.499,8.5
TCGA-55-A494,0.786,0.087,0.639
TCGA-55-A4DF,0.817,0.436,3.882
TCGA-55-A4DG,0.674,0.395,1.633
TCGA-62-8394,0.75,0.326,1.955
TCGA-62-8395,0.484,0.321,0.603
TCGA-62-8397,0.782,0.166,1.197
TCGA-62-8398,0.657,0.319,1.221
TCGA-62-8399,0.77,0.462,3.102
TCGA-62-8402,0.729,0.272,1.459
TCGA-62-A46O,0.872,0.09,1.233
TCGA-62-A46P,0.793,0.236,1.801
TCGA-62-A46R,0.672,0.498,2.039
TCGA-62-A46S,0.525,0.312,0.689
TCGA-62-A46V,0.706,0.494,2.371
TCGA-62-A46Y,0.48,0.561,1.035
TCGA-62-A470,0.628,0.25,0.843
TCGA-62-A471,0.823,0.397,3.677
TCGA-62-A472,0.673,0.42,1.727
