Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-FD-A3SL,0.316,0.416,0.384
TCGA-FD-A3SM,0.299,0.266,0.226
TCGA-FD-A3SN,0.57,0.259,0.689
TCGA-FD-A3SO,0.446,0.444,0.715
TCGA-FD-A3SP,0.271,0.983,0.729
TCGA-FD-A3SQ,0.235,0.554,0.339
TCGA-FD-A3SR,0.623,0.274,0.906
TCGA-FD-A3SS,0.69,0.189,0.842
TCGA-FD-A43P,0.661,0.407,1.587
TCGA-FD-A43U,0.825,1.077,10.134
TCGA-FD-A43Y,0.63,0.583,1.98
TCGA-FD-A5BR,0.375,0.36,0.432
TCGA-FD-A5BT,0.848,1.646,18.429
TCGA-FD-A5BU,0.337,0.763,0.774
TCGA-FD-A5BV,0.47,0.114,0.201
TCGA-FD-A5BX,0.544,0.371,0.886
TCGA-FD-A5BY,0.527,0.25,0.556
TCGA-FD-A5BZ,0.315,0.38,0.349
TCGA-FD-A5C0,0.433,0.27,0.412
TCGA-FD-A5C1,0.651,0.592,2.205
TCGA-FD-A62N,0.451,1.394,2.288
TCGA-FD-A62O,0.337,0.076,0.077
TCGA-FD-A62P,0.537,0.724,1.682
TCGA-FD-A62S,0.409,0.634,0.878
TCGA-FD-A6TA,0.488,0.415,0.789
TCGA-FD-A6TB,0.448,1.287,2.087
TCGA-FD-A6TC,0.589,0.256,0.735
TCGA-FD-A6TD,0.686,0.588,2.567
TCGA-FD-A6TE,0.534,0.082,0.189
TCGA-FD-A6TF,0.661,0.72,2.808
TCGA-FD-A6TG,0.488,0.502,0.957
TCGA-FD-A6TH,0.658,0.116,0.447
TCGA-FD-A6TI,0.325,0.26,0.25
TCGA-FD-A6TK,0.516,1.106,2.355
TCGA-FJ-A3Z7,0.594,0.297,0.87
TCGA-FJ-A3Z9,0.382,0.077,0.095
TCGA-FJ-A3ZF,0.853,0.078,0.9
TCGA-FJ-A871,0.881,0.118,1.74
TCGA-FT-A3EE,0.516,0.259,0.552
TCGA-FT-A61P,0.382,0.548,0.677
TCGA-G2-A2EF,0.775,0.216,1.483
TCGA-G2-A2EJ,0.575,0.307,0.829
TCGA-G2-A2EK,0.268,0.447,0.327
TCGA-G2-A2EO,0.825,0.516,4.861
TCGA-G2-A2ES,0.57,0.419,1.11
TCGA-G2-A3IB,0.539,0.075,0.176
TCGA-G2-A3IE,0.515,0.263,0.558
TCGA-G2-A3VY,0.689,0.055,0.244
TCGA-G2-AA3B,0.784,0.123,0.894
TCGA-G2-AA3C,0.779,0.419,2.949
TCGA-G2-AA3D,0.56,0.26,0.663
TCGA-G2-AA3F,0.45,0.112,0.183
TCGA-GC-A3BM,0.506,0.076,0.155
TCGA-GC-A3I6,0.216,0.163,0.09
TCGA-GC-A3OO,0.254,0.874,0.594
TCGA-GC-A3RB,0.703,0.068,0.321
TCGA-GC-A3RC,0.429,0.184,0.277
TCGA-GC-A3RD,0.591,0.205,0.591
TCGA-GC-A3WC,0.44,0.808,1.267
TCGA-GC-A3YS,0.545,0.305,0.732
TCGA-GC-A6I1,0.669,0.75,3.025
TCGA-GD-A3OQ,0.224,0.127,0.073
TCGA-GD-A3OS,0.713,0.169,0.841
TCGA-GD-A76B,0.663,0.602,2.364
TCGA-GU-A42P,0.742,0.083,0.477
TCGA-GU-A42Q,0.646,0.459,1.673
TCGA-GU-A42R,0.581,0.165,0.457
TCGA-GU-A762,0.694,0.607,2.747
TCGA-GU-A763,0.883,0.038,0.572
TCGA-GU-A764,0.633,1.188,4.103
TCGA-GU-A766,0.756,0.813,5.031
TCGA-GU-A767,0.788,0.568,4.216
TCGA-GU-AATO,0.69,0.305,1.357
TCGA-GU-AATP,0.569,0.187,0.494
TCGA-GU-AATQ,0.503,0.121,0.245
TCGA-GV-A3JV,0.506,0.119,0.242
TCGA-GV-A3JW,0.644,0.098,0.354
TCGA-GV-A3JX,0.475,0.081,0.146
TCGA-GV-A3JZ,0.807,0.076,0.637
TCGA-GV-A3QF,0.679,0.303,1.279
TCGA-GV-A3QG,0.309,0.551,0.493
TCGA-GV-A3QH,0.628,0.154,0.521
TCGA-GV-A40E,0.716,0.318,1.602
TCGA-GV-A40G,0.84,0.128,1.345
TCGA-GV-A6ZA,0.748,0.141,0.838
TCGA-H4-A2HQ,0.6,0.071,0.213
TCGA-HQ-A5ND,0.619,0.229,0.745
TCGA-HQ-A5NE,0.297,0.615,0.521
TCGA-K4-A3WS,0.407,0.454,0.622
TCGA-K4-A3WV,0.678,0.164,0.69
TCGA-K4-A4AC,0.671,0.714,2.913
TCGA-K4-A54R,0.436,0.33,0.51
TCGA-K4-A5RH,0.525,0.481,1.065
TCGA-K4-A5RI,0.541,0.194,0.457
TCGA-K4-A5RJ,0.617,0.579,1.868
TCGA-K4-A6FZ,0.272,0.588,0.44
TCGA-K4-A6MB,0.523,0.1,0.22
TCGA-KQ-A41N,0.851,0.175,2.012
TCGA-KQ-A41O,0.836,0.036,0.363
TCGA-KQ-A41P,0.618,0.142,0.459
TCGA-KQ-A41Q,0.802,0.249,2.018
TCGA-KQ-A41R,0.74,0.079,0.449
TCGA-KQ-A41S,0.418,0.302,0.435
TCGA-LC-A66R,0.46,0.451,0.77
TCGA-LT-A5Z6,0.514,0.117,0.248
TCGA-LT-A8JT,0.314,0.102,0.093
TCGA-PQ-A6FI,0.832,0.124,1.234
TCGA-PQ-A6FN,0.865,0.93,11.973
TCGA-R3-A69X,0.312,1.043,0.946
TCGA-S5-A6DX,0.869,0.464,6.129
TCGA-SY-A9G5,0.442,0.488,0.773
TCGA-UY-A78K,0.62,0.535,1.745
TCGA-UY-A78L,0.741,0.313,1.793
TCGA-UY-A78N,0.788,0.105,0.78
TCGA-UY-A78O,0.775,0.087,0.6
TCGA-UY-A8OB,0.71,0.171,0.84
TCGA-UY-A8OC,0.476,0.249,0.453
TCGA-UY-A8OD,0.424,0.235,0.346
TCGA-UY-A9PB,0.495,0.64,1.253
TCGA-UY-A9PD,0.644,0.168,0.607
TCGA-UY-A9PE,0.628,0.315,1.066
TCGA-UY-A9PF,0.245,0.448,0.291
TCGA-UY-A9PH,0.468,0.379,0.666
TCGA-XF-A8HD,0.538,0.394,0.918
TCGA-XF-A8HF,0.731,0.132,0.719
TCGA-XF-A8HG,0.455,0.062,0.104
TCGA-XF-A8HH,0.405,0.37,0.503
TCGA-XF-A9SH,0.255,0.224,0.153
TCGA-XF-A9SJ,0.657,0.403,1.544
TCGA-XF-A9SK,0.475,0.367,0.663
TCGA-XF-A9SM,0.481,1.225,2.271
TCGA-XF-A9SP,0.452,0.524,0.864
TCGA-XF-A9ST,0.891,0.051,0.84
TCGA-XF-A9SU,0.687,0.694,3.048
TCGA-XF-A9SV,0.348,0.166,0.178
TCGA-XF-A9SX,0.567,0.511,1.336
TCGA-XF-A9SY,0.483,1.502,2.811
TCGA-XF-A9SZ,0.626,0.588,1.969
TCGA-XF-A9T0,0.578,0.1,0.274
TCGA-XF-A9T2,0.423,0.102,0.15
TCGA-XF-A9T3,0.324,0.484,0.464
TCGA-XF-A9T4,0.251,0.15,0.101
TCGA-XF-A9T5,0.738,0.394,2.223
TCGA-XF-A9T6,0.85,0.117,1.336
TCGA-XF-A9T8,0.441,0.611,0.964
TCGA-XF-AAMG,0.808,0.104,0.87
TCGA-XF-AAMH,0.875,0.073,1.021
