Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-B8-A54H,0.435,0.485,0.747
TCGA-B8-A54I,0.821,0.763,6.996
TCGA-B8-A54J,0.524,0.525,1.157
TCGA-B8-A7U6,0.611,0.466,1.461
TCGA-BP-4161,0.401,0.311,0.417
TCGA-BP-4162,0.409,0.372,0.515
TCGA-BP-4163,0.531,0.443,1.004
TCGA-BP-4164,0.553,0.113,0.278
TCGA-BP-4167,0.756,1.072,6.644
TCGA-BP-4760,0.337,0.645,0.655
TCGA-BP-4782,0.44,0.574,0.901
TCGA-BP-4795,0.347,0.67,0.711
TCGA-BP-4960,0.683,0.494,2.127
TCGA-BP-4961,0.372,0.501,0.593
TCGA-BP-4962,0.597,0.535,1.587
TCGA-BP-4964,0.453,0.244,0.405
TCGA-BP-4965,0.383,0.461,0.572
TCGA-BP-4967,0.564,0.197,0.51
TCGA-BP-4968,0.587,0.296,0.844
TCGA-BP-4972,0.371,0.253,0.298
TCGA-BP-4973,0.467,0.227,0.398
TCGA-BP-4974,0.502,0.607,1.223
TCGA-BP-4975,0.474,0.195,0.351
TCGA-BP-4977,0.507,0.227,0.466
TCGA-BP-4981,0.752,0.144,0.877
TCGA-BP-4985,0.896,0.377,6.511
TCGA-BP-4987,0.452,0.264,0.434
TCGA-BP-4989,0.645,0.531,1.926
TCGA-BP-4991,0.475,0.309,0.559
TCGA-BP-4992,0.899,0.524,9.276
TCGA-BP-4998,0.419,0.757,1.094
TCGA-BP-4999,0.423,0.58,0.85
TCGA-BP-5000,0.596,0.588,1.733
TCGA-BP-5004,0.524,0.36,0.791
TCGA-BP-5007,0.463,0.124,0.214
TCGA-BP-5010,0.74,0.748,4.247
TCGA-BP-5169,0.878,0.78,11.195
TCGA-BP-5170,0.625,0.518,1.724
TCGA-BP-5173,0.63,0.331,1.128
TCGA-BP-5174,0.672,0.366,1.504
TCGA-BP-5175,0.898,0.336,5.937
TCGA-BP-5176,0.551,0.383,0.94
TCGA-BP-5177,0.557,0.448,1.124
TCGA-BP-5178,0.724,0.419,2.197
TCGA-BP-5180,0.761,0.193,1.23
TCGA-BP-5183,0.695,0.293,1.336
TCGA-BP-5184,0.392,0.413,0.533
TCGA-BP-5185,0.893,0.14,2.322
TCGA-BP-5186,0.334,0.413,0.415
TCGA-BP-5187,0.895,0.661,11.326
TCGA-BP-5189,0.409,0.484,0.669
TCGA-BP-5190,0.629,0.316,1.072
TCGA-BP-5191,0.84,0.614,6.423
TCGA-BP-5192,0.459,0.193,0.328
TCGA-BP-5194,0.395,0.317,0.413
TCGA-BP-5195,0.395,0.587,0.766
TCGA-BP-5196,0.652,0.416,1.563
TCGA-BP-5198,0.61,0.476,1.488
TCGA-BP-5200,0.502,0.39,0.786
TCGA-BP-5201,0.811,0.214,1.833
TCGA-BP-5202,0.384,0.244,0.304
TCGA-CJ-4634,0.392,0.193,0.249
TCGA-CJ-4636,0.484,0.361,0.677
TCGA-CJ-4637,0.576,1.013,2.754
TCGA-CJ-4638,0.814,0.294,2.573
TCGA-CJ-4639,0.399,0.35,0.464
TCGA-CJ-4640,0.533,0.645,1.471
TCGA-CJ-4643,0.342,0.509,0.53
TCGA-CJ-4644,0.47,0.304,0.538
TCGA-CJ-4869,0.666,0.806,3.217
TCGA-CJ-4882,0.837,1.189,12.194
TCGA-CJ-4899,0.414,0.73,1.029
TCGA-CJ-4901,0.608,0.815,2.533
TCGA-CJ-4902,0.528,0.721,1.615
TCGA-CJ-4903,0.527,0.28,0.625
TCGA-CJ-4904,0.384,0.512,0.638
TCGA-CJ-4905,0.393,0.36,0.467
TCGA-CJ-4907,0.384,0.455,0.569
TCGA-CJ-4908,0.41,0.581,0.807
TCGA-CJ-4912,0.832,0.288,2.849
TCGA-CJ-4916,0.505,0.754,1.536
TCGA-CJ-4918,0.394,0.866,1.124
TCGA-CJ-4920,0.453,0.341,0.565
TCGA-CJ-5671,0.644,0.765,2.771
TCGA-CJ-5672,0.66,0.378,1.469
TCGA-CJ-5675,0.601,0.426,1.282
TCGA-CJ-5676,0.732,0.492,2.693
TCGA-CJ-5677,0.695,0.405,1.849
TCGA-CJ-5678,0.716,0.362,1.83
TCGA-CJ-5679,0.82,0.15,1.365
TCGA-CJ-5680,0.578,0.268,0.735
TCGA-CJ-5681,0.694,0.125,0.567
TCGA-CJ-5683,0.487,0.235,0.446
TCGA-CJ-5684,0.454,0.369,0.612
TCGA-CJ-5686,0.353,0.736,0.803
TCGA-CJ-6027,0.646,0.426,1.554
TCGA-CJ-6028,0.492,0.888,1.718
TCGA-CJ-6030,0.448,0.545,0.884
TCGA-CJ-6031,0.472,0.772,1.378
TCGA-CJ-6032,0.56,0.43,1.096
TCGA-CJ-6033,0.568,0.456,1.196
TCGA-CW-5580,0.415,0.341,0.484
TCGA-CW-5581,0.417,0.438,0.627
TCGA-CW-5584,0.549,0.422,1.027
TCGA-CW-5585,0.549,0.148,0.359
TCGA-CW-6090,0.624,0.189,0.627
TCGA-CW-6093,0.376,0.374,0.45
TCGA-CZ-4853,0.542,0.185,0.438
TCGA-CZ-4856,0.423,0.559,0.82
TCGA-CZ-4863,0.377,0.899,1.09
TCGA-CZ-4864,0.458,0.325,0.55
TCGA-CZ-4866,0.646,0.239,0.87
TCGA-CZ-5451,0.536,0.279,0.644
TCGA-CZ-5452,0.655,0.963,3.665
TCGA-CZ-5453,0.489,0.151,0.288
TCGA-CZ-5454,0.57,0.159,0.421
TCGA-CZ-5455,0.352,0.471,0.513
TCGA-CZ-5456,0.729,0.353,1.9
TCGA-CZ-5457,0.571,0.417,1.112
TCGA-CZ-5458,0.46,0.484,0.825
TCGA-CZ-5459,0.645,0.32,1.165
TCGA-CZ-5460,0.578,0.265,0.726
TCGA-CZ-5461,0.454,0.295,0.491
TCGA-CZ-5462,0.645,0.658,2.39
TCGA-CZ-5463,0.548,0.203,0.493
TCGA-CZ-5464,0.503,0.422,0.855
TCGA-CZ-5465,0.545,0.147,0.353
