Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-MH-A561,0.65,0.375,1.391
TCGA-MH-A854,0.877,0.111,1.583
TCGA-MH-A855,0.544,0.277,0.659
TCGA-MH-A856,0.793,0.143,1.098
TCGA-P4-A5E6,0.891,0.106,1.735
TCGA-P4-A5EA,0.896,0.796,13.708
TCGA-P4-A5EB,0.604,0.137,0.419
TCGA-P4-AAVK,0.614,0.171,0.545
TCGA-P4-AAVL,0.874,0.066,0.908
TCGA-P4-AAVO,0.911,0.059,1.205
TCGA-PJ-A5Z8,0.706,0.638,3.067
TCGA-PJ-A5Z9,0.792,0.089,0.679
TCGA-SX-A71R,0.88,0.063,0.915
TCGA-SX-A71U,0.608,0.197,0.609
TCGA-SX-A71V,0.637,0.195,0.685
TCGA-SX-A7SL,0.862,0.057,0.706
TCGA-SX-A7SM,0.73,0.161,0.871
TCGA-SX-A7SO,0.554,0.081,0.202
TCGA-SX-A7SQ,0.636,0.057,0.2
TCGA-SX-A7SS,0.825,0.097,0.914
TCGA-UN-AAZ9,0.849,0.089,0.999
TCGA-UZ-A9PK,0.594,0.217,0.633
TCGA-UZ-A9PM,0.823,0.31,2.883
TCGA-UZ-A9PN,0.655,0.492,1.863
TCGA-UZ-A9PP,0.633,0.099,0.343
TCGA-UZ-A9PS,0.639,0.109,0.387
TCGA-UZ-A9PU,0.606,0.099,0.305
TCGA-UZ-A9PZ,0.793,0.115,0.88
TCGA-UZ-A9Q1,0.671,0.092,0.373
TCGA-V9-A7HT,0.631,0.512,1.751
TCGA-WN-AB4C,0.895,0.351,5.953
TCGA-Y8-A895,0.705,0.123,0.586
TCGA-Y8-A896,0.78,0.394,2.798
TCGA-Y8-A8RZ,0.843,0.137,1.467
