"sample.id","PiT","(1-rho)/(rho*psi)","TmS"
"SRR8518252",0.812178115073002,0.46971169420149,4.06224821535136
"SRR8518316",0.667314368589085,1.75438596491228,7.03803742573403
"SRR8518285",0.535590441307943,1.29275077728686,2.98178599621531
"SRR8518187",0.923627682511522,1.06060606060606,25.6534081989339
"SRR8613749",0.857913573688175,0.34965034965035,4.22235661486105
"SRR8518315",0.575956052724054,0.130378096479791,0.354171091428457
"SRR8518137",0.870423711661633,0.0550660792951542,0.739808521163665
"SRR8518219",0.860824370657165,0.19723865877712,2.43990769235662
"SRR8518245",0.697291386235916,0.373715353472438,1.72171180489454
"SRR8518182",0.539746591027537,0.228310502283105,0.535486811833537
"SRR8518289",0.779931658397198,1.35719905586153,9.61994353848225
"SRR8518247",0.692153234377163,0.236406619385343,1.06305879748114
"SRR8518248",0.875010310083537,0.81578947368421,11.4221293101598
"SRR8613747",0.671297951409535,0.349206349206349,1.42634649127785
"SRR8518375",0.843689357530805,0.148032044583769,1.59801096861929
"SRR8518449",0.855851423915406,0.0988142292490118,1.17337681859916
"SRR8518199",0.453861421326535,0.538492221779019,0.895014030115005
"SRR8518165",0.800644786151241,0.0542667209333876,0.435888947552718
"SRR8518400",0.612311807743129,0.23213501474371,0.733264584050173
"SRR8518197",0.801425659303851,0.264550264550264,2.13539543369931
"SRR8518356",0.7984810775428,0.441023867173988,3.49494934162295
"SRR8518202",0.359788178220663,0.0679853669591116,0.0764132447785783
"SRR8518203",0.523554816402997,0.638537623638412,1.40334905176915
"SRR8518143",0.80307113644784,0.0949367088607595,0.7742991992155
"SRR8613746",0.700741170315197,0.392156862745098,1.83654035696505
"SRR8518200",0.875268742013161,0.413533834586466,5.80372947439634
"SRR8518201",0.782822597734133,0.243506493506493,1.75545322692943
"SRR8518204",0.618429045983805,0.731707317073171,2.37182129967746
"SRR8518186",0.383670182686036,0.695564516129032,0.865988817922807
"SRR8518442",0.663579498840785,0.235690235690236,0.929784052648891
"SRR8518313",0.552181220810573,0.219298245614035,0.54080971416142
"SRR8518361",0.840397756840973,0.144359661785935,1.52027356936756
"SRR8518196",0.502866885129833,1.16032031377676,2.34740613525283
"SRR8518225",0.277360524490643,0.697698635842966,0.535575667070807
"SRR8518397",0.868259405871205,0.127923976608187,1.68621064237677
"SRR8613744",0.422390680294898,0.730469233626347,1.06834632337114
"SRR8518195",0.283195663487501,0.115197164377492,0.091024386254376
"SRR8518145",0.686540237017822,0.183150183150183,0.802271838359894
"SRR8518435",0.787012952018155,0.404179058949134,2.98698120229914
"SRR8518385",0.478094997203499,0.260416666666667,0.477113286343762
"SRR8518194",0.691772266603127,0.171841905446989,0.771348269789855
"SRR8518386",0.529506200115536,1.00143061516452,2.25407314547117
"SRR8518383",0.838507889041724,0.0499937507811524,0.51916039965089
"SRR8518384",0.583423701874186,0.625,1.75065079464141
"SRR8613741",0.863280610031097,0.136144049187527,1.71929552730516
"SRR8518312",0.555393874881866,0.72562358276644,1.81287153086896
"SRR8518311",0.877298209041791,0.957690108633505,13.6946626542292
"SRR8518163",0.0352776712105713,0.243853886732358,0.017834348771338
"SRR8613740",0.824108202893074,0.319602272727273,2.99487365471284
"SRR8518301",0.828772326784971,0.0652290691428133,0.631440542202757
"SRR8518288",0.161678086932966,0.382200382200382,0.147421713916871
"SRR8518238",0.847068777181818,0.136054421768708,1.50718016313535
"SRR8613805",0.45688119093698,2.07336523125997,3.4883033336283
"SRR8613804",0.747741648730317,0.346281240590184,2.05288668906322
"SRR8518415",0.857892806892245,0.242977361621429,2.93368022003813
"SRR8518337",0.415647362388057,0.38100301258196,0.542011405608683
"SRR8613807",0.83224586816832,0.0962000962000962,0.954517563361807
"SRR8518340",0.402909250497767,0.337630448127686,0.455657472214255
"SRR8518299",0.185539524711625,0.108481262327416,0.0494255091880778
"SRR8518144",0.872255996794362,0.856854838709677,11.7014772152341
"SRR8518292",0.637774369923537,0.193236714975845,0.680467719050133
"SRR8613801",0.319405159420146,0.302137067059691,0.283587627519233
"SRR8518298",0.865328266765906,0.21488047273704,2.76141314246198
"SRR8518297",0.872596972628633,0.990367657034324,13.5662681986108
"SRR8518272",0.88687825205463,0.2234280242579,3.50336622644057
"SRR8518270",0.616112148167902,0.378396972824217,1.2145993715317
"SRR8518300",0.405855631052552,0.623243309299768,0.851465804660387
"SRR8518158",0.855930222994404,0.303456442898379,3.6057186488046
"SRR8518211",0.664752464811716,0.877681805516857,3.48065881057143
"SRR8518291",0.62716379900563,1.16645649432535,3.92429321189721
"SRR8613800",0.594407371871817,0.851351351351351,2.49535856522691
"SRR8518274",0.739008138223078,0.208276736394096,1.17948661042419
"SRR8518205",0.819793412969393,0.4149377593361,3.77525869060758
"SRR8518139",0.794704879503383,0.182995495495496,1.41676443985239
"SRR8613803",0.31477977927523,0.537130190127036,0.49349892947238
"SRR8518324",0.345784230550053,0.345224395857307,0.364935110595065
"SRR8518231",0.84234643076969,0.595350595350595,6.36194221924117
"SRR8518323",0.850553394637393,0.910449789373556,10.3633823882404
"SRR8518230",0.842021654853286,0.193912328123164,2.06709823768673
"SRR8518331",0.790234420463857,0.702678963548529,5.29430142695302
"SRR8518325",0.643533114057757,0.319220430107527,1.15258345478541
"SRR8518328",0.473474256930729,0.966183574879227,1.73766641497121
"SRR8518327",0.849010177615008,0.306130067945942,3.44271606197893
"SRR8518264",0.550737692147596,0.238729735731734,0.585303780913199
"SRR8518257",0.891781335096668,0.0995670995670996,1.64097535416771
"SRR8518263",0.553856983642007,0.789766407119021,1.96088529458336
"SRR8518448",0.817597396838237,0.245098039215686,2.19724406734683
"SRR8518417",0.786907415921989,0.34965034965035,2.58237473922462
"SRR8518418",0.636208068101068,0.977729494839761,3.41975364758914
"SRR8518420",0.876169852211571,1.36363636363636,19.2970305298988
"SRR8518421",0.784959166909484,0.286062081558125,2.08841316318507
"SRR8518255",0.411383388200883,0.166666666666667,0.232966235267855
"SRR8518412",0.819433996862689,1.20313862249346,10.9200256203264
"SRR8518444",0.46299183953088,0.188273265196342,0.324646781201949
"SRR8518149",0.480747754007736,0.470269408576439,0.870794353598377
"SRR8518374",0.617974182665047,0.244200244200244,0.790048418031058
"SRR8518220",0.319878982890206,0.599543205177008,0.563962194509851
"SRR8518193",0.60341644269669,0.559773023541139,1.70343041390609
"SRR8613809",0.704747558393259,0.392857142857143,1.8754467242963
"SRR8518192",0.701079080012522,0.0905155450609996,0.424584234926454
"SRR8518133",0.833719857273853,0.149511213341001,1.49928266122301
"SRR8518261",0.586254250227911,1.43683523045344,4.07182798225499
"SRR8518123",0.453861006093856,0.568919053797784,0.945584098640653
"SRR8518360",0.869210173414995,0.322410843532044,4.28539118882037
"SRR8518215",0.359727089955322,0.832746891860192,0.935731033997057
"SRR8518191",0.442154065209801,0.165413533834586,0.262216722806048
"SRR8518190",0.50707508499049,2.38095238095238,4.89860258293677
"SRR8518188",0.496534544009124,0.549245950474772,1.08336961085486
"SRR8518307",0.720567217387484,0.836418483477307,4.31370817393639
"SRR8518314",0.743781027067346,0.317604355716879,1.84395473287807
"SRR8518124",0.301602519466999,1.46940418679549,1.26912257620018
"SRR8518210",0.826880869082699,0.144927536231884,1.38445481419013
"SRR8518376",0.87949355947862,0.499405469678954,7.28963352084252
"SRR8518173",0.849075111274997,0.369563157396001,4.15818599092549
"SRR8518174",0.654034444028283,0.533570475767007,2.01738851422949
"SRR8613782",0.825722916675905,0.27734778121775,2.62814151433586
"SRR8518172",0.599188848082292,0.258397932816538,0.772579101007526
"SRR8518305",0.341699320691055,0.550033774003667,0.571004019414009
"SRR8518169",0.866460572891836,0.238095238095238,3.0897262459531
"SRR8518214",0.591956286842876,0.228378512560818,0.662625556679726
"SRR8518170",0.84229516317792,0.340501792114695,3.63721263508473
"SRR8518167",0.6986787944253,0.625226531351939,2.89944757345922
"SRR8518135",0.579855341245247,0.681114551083591,1.88005679575338
"SRR8518166",0.194650095184334,0.346403301886792,0.167448795315534
