Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-HC-8262,0.49,0.528,1.013
TCGA-HC-8265,0.778,0.262,1.839
TCGA-HC-8266,0.224,1.315,0.759
TCGA-HC-A48F,0.717,0.072,0.364
TCGA-HC-A4ZV,0.802,0.217,1.751
TCGA-HC-A631,0.578,0.077,0.21
TCGA-HC-A632,0.683,0.221,0.954
TCGA-HC-A76W,0.394,0.326,0.423
TCGA-HC-A76X,0.613,0.12,0.379
TCGA-HC-A8CY,0.638,0.122,0.428
TCGA-HC-A8D0,0.428,0.929,1.392
TCGA-HC-A8D1,0.24,0.976,0.616
TCGA-HI-7168,0.484,0.224,0.42
TCGA-HI-7171,0.768,0.084,0.558
TCGA-J4-8198,0.46,0.253,0.431
TCGA-J4-8200,0.37,0.451,0.529
TCGA-J4-A67T,0.405,0.619,0.842
TCGA-J4-A6G1,0.24,0.526,0.332
TCGA-J4-A6M7,0.408,0.113,0.156
TCGA-J4-A83I,0.551,0.16,0.393
TCGA-J4-A83K,0.353,0.475,0.517
TCGA-J4-A83M,0.473,0.308,0.553
TCGA-J4-A83N,0.462,0.446,0.766
TCGA-J9-A52B,0.662,0.267,1.048
TCGA-J9-A8CK,0.475,0.4,0.724
TCGA-J9-A8CL,0.641,0.166,0.591
TCGA-J9-A8CM,0.564,0.298,0.771
TCGA-J9-A8CN,0.669,0.087,0.354
TCGA-J9-A8CP,0.469,0.355,0.629
TCGA-KC-A4BN,0.433,1.04,1.59
TCGA-KC-A4BV,0.393,0.274,0.355
TCGA-KC-A7F3,0.477,0.622,1.133
TCGA-KC-A7F6,0.555,0.283,0.705
TCGA-KC-A7FA,0.657,0.197,0.754
TCGA-KC-A7FD,0.795,0.145,1.124
TCGA-KK-A59X,0.866,0.099,1.28
TCGA-KK-A59Y,0.609,0.17,0.531
TCGA-KK-A59Z,0.714,0.083,0.412
TCGA-KK-A6DY,0.433,0.626,0.957
TCGA-KK-A6E0,0.732,0.319,1.743
TCGA-KK-A6E1,0.789,0.153,1.147
TCGA-KK-A6E2,0.497,0.092,0.181
TCGA-KK-A6E5,0.418,0.301,0.432
TCGA-KK-A6E6,0.483,0.34,0.636
TCGA-KK-A7AP,0.878,0.106,1.536
TCGA-KK-A7AU,0.823,0.086,0.799
TCGA-KK-A7AV,0.31,0.881,0.793
TCGA-KK-A7B1,0.506,0.445,0.91
TCGA-KK-A7B3,0.57,0.278,0.738
TCGA-KK-A7B4,0.757,0.208,1.293
TCGA-KK-A8I4,0.417,0.604,0.865
TCGA-KK-A8I5,0.49,0.206,0.396
