Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-AA-A01P,0.52,0.71,1.54
TCGA-AA-A01R,0.898,0.254,4.453
TCGA-AA-A01S,0.887,0.066,1.037
TCGA-AA-A01V,0.795,0.113,0.876
TCGA-AA-A01X,0.876,0.209,2.952
TCGA-AA-A01Z,0.884,0.118,1.785
TCGA-AA-A022,0.819,0.209,1.882
TCGA-AA-A024,0.505,0.19,0.387
TCGA-AA-A029,0.831,0.077,0.751
TCGA-AA-A02E,0.812,0.136,1.177
TCGA-AA-A02F,0.874,0.056,0.783
TCGA-AA-A02H,0.743,0.126,0.727
TCGA-AA-A02J,0.907,0.161,3.135
TCGA-AA-A02O,0.903,0.108,2.014
TCGA-AA-A02R,0.846,0.208,2.286
TCGA-AA-A02W,0.785,0.157,1.147
TCGA-AA-A02Y,0.689,0.135,0.599
TCGA-AA-A03J,0.875,0.366,5.103
TCGA-AD-5900,0.633,0.361,1.247
TCGA-AD-6548,0.619,0.396,1.288
TCGA-AD-6888,0.879,0.229,3.33
TCGA-AD-6889,0.691,0.068,0.305
TCGA-AD-6890,0.786,0.221,1.617
TCGA-AD-6895,0.644,0.381,1.379
TCGA-AD-6901,0.679,0.325,1.374
TCGA-AD-6963,0.89,0.542,8.731
TCGA-AD-6964,0.55,0.459,1.12
TCGA-AD-6965,0.735,0.091,0.507
TCGA-AD-A5EJ,0.64,0.226,0.804
TCGA-AD-A5EK,0.841,0.092,0.974
TCGA-AM-5820,0.881,0.177,2.62
TCGA-AU-3779,0.691,0.254,1.137
TCGA-AU-6004,0.489,0.508,0.971
TCGA-AY-4070,0.826,0.486,4.594
TCGA-AY-4071,0.67,0.19,0.771
TCGA-AY-5543,0.769,0.238,1.585
TCGA-AY-6196,0.508,0.533,1.099
TCGA-AY-6197,0.617,0.128,0.412
TCGA-AY-6386,0.472,0.163,0.292
TCGA-AY-A54L,0.731,0.36,1.956
TCGA-AY-A69D,0.756,0.158,0.984
TCGA-AY-A71X,0.555,0.05,0.125
TCGA-AY-A8YK,0.689,0.212,0.941
TCGA-AZ-4308,0.891,0.219,3.586
TCGA-AZ-4315,0.886,0.235,3.663
TCGA-AZ-4615,0.619,0.264,0.857
TCGA-AZ-4616,0.888,0.328,5.22
TCGA-AZ-5403,0.763,0.489,3.144
TCGA-AZ-5407,0.602,0.358,1.082
TCGA-AZ-6599,0.504,0.089,0.18
TCGA-AZ-6600,0.551,0.313,0.769
TCGA-AZ-6603,0.586,0.129,0.366
TCGA-AZ-6605,0.479,0.606,1.113
TCGA-AZ-6606,0.641,0.124,0.443
TCGA-AZ-6607,0.683,0.3,1.29
TCGA-CA-5254,0.759,0.137,0.863
TCGA-CA-5255,0.664,0.714,2.829
TCGA-CA-5256,0.903,0.13,2.413
TCGA-CA-5796,0.491,0.14,0.27
TCGA-CA-5797,0.679,0.244,1.032
TCGA-CA-6715,0.779,0.076,0.536
TCGA-CA-6716,0.613,0.136,0.43
TCGA-CA-6718,0.714,0.561,2.794
TCGA-CA-6719,0.707,0.214,1.034
TCGA-CK-4950,0.488,0.553,1.054
TCGA-CK-4951,0.634,0.303,1.051
TCGA-CK-4952,0.795,0.075,0.581
TCGA-CK-5912,0.807,0.089,0.744
TCGA-CK-5913,0.609,0.212,0.66
TCGA-CK-5914,0.798,0.124,0.982
TCGA-CK-5915,0.688,0.043,0.191
TCGA-CK-5916,0.672,0.34,1.396
TCGA-CK-6746,0.712,0.089,0.441
TCGA-CK-6747,0.478,0.125,0.229
TCGA-CK-6748,0.612,0.136,0.429
TCGA-CK-6751,0.582,0.281,0.782
TCGA-CM-4743,0.779,0.649,4.584
TCGA-CM-4746,0.899,0.103,1.833
TCGA-CM-4747,0.901,0.211,3.817
TCGA-CM-4750,0.887,0.217,3.419
TCGA-CM-4751,0.541,0.467,1.102
TCGA-CM-4752,0.789,0.386,2.894
TCGA-CM-5341,0.914,0.244,5.191
TCGA-CM-5344,0.727,0.31,1.657
TCGA-CM-5348,0.596,0.32,0.945
TCGA-CM-5349,0.689,0.444,1.966
TCGA-CM-5860,0.656,0.232,0.883
TCGA-CM-5861,0.65,0.186,0.691
TCGA-CM-5862,0.866,0.092,1.186
TCGA-CM-5864,0.706,0.104,0.499
TCGA-CM-5868,0.713,0.317,1.577
TCGA-CM-6161,0.674,0.243,1.006
TCGA-CM-6162,0.482,0.491,0.913
TCGA-CM-6163,0.654,0.364,1.376
TCGA-CM-6164,0.64,0.438,1.559
TCGA-CM-6165,0.455,0.18,0.3
TCGA-CM-6166,0.839,0.154,1.605
TCGA-CM-6167,0.317,0.946,0.879
TCGA-CM-6168,0.45,0.672,1.102
TCGA-CM-6169,0.558,0.22,0.554
TCGA-CM-6170,0.677,0.202,0.844
TCGA-CM-6171,0.75,0.132,0.794
TCGA-CM-6172,0.586,0.198,0.559
TCGA-CM-6675,0.747,0.064,0.378
TCGA-CM-6676,0.671,0.271,1.103
TCGA-CM-6677,0.756,0.252,1.561
TCGA-CM-6678,0.612,0.203,0.641
TCGA-CM-6679,0.537,0.329,0.765
TCGA-CM-6680,0.419,0.197,0.285
TCGA-D5-5537,0.718,0.151,0.771
TCGA-D5-5538,0.582,0.239,0.666
TCGA-D5-5539,0.632,0.21,0.722
TCGA-D5-5540,0.909,0.098,1.959
TCGA-D5-5541,0.692,0.125,0.563
TCGA-D5-6529,0.55,0.561,1.373
TCGA-D5-6530,0.486,0.186,0.352
TCGA-D5-6531,0.771,0.109,0.734
TCGA-D5-6532,0.803,0.16,1.299
TCGA-D5-6533,0.767,0.18,1.19
TCGA-D5-6534,0.365,0.91,1.045
TCGA-D5-6535,0.641,0.214,0.764
TCGA-D5-6536,0.777,0.175,1.224
TCGA-D5-6537,0.884,0.118,1.784
TCGA-D5-6538,0.751,0.026,0.154
TCGA-D5-6539,0.307,0.843,0.746
TCGA-D5-6540,0.555,0.168,0.421
TCGA-D5-6541,0.611,0.343,1.077
TCGA-D5-6898,0.647,0.228,0.836
TCGA-D5-6920,0.386,0.69,0.868
TCGA-D5-6922,0.68,0.18,0.765
TCGA-D5-6923,0.687,0.262,1.15
TCGA-D5-6924,0.604,0.289,0.884
TCGA-D5-6926,0.661,0.265,1.034
TCGA-D5-6927,0.683,0.475,2.051
TCGA-D5-6928,0.563,0.609,1.565
TCGA-D5-6929,0.749,0.422,2.513
TCGA-D5-6930,0.648,0.604,2.226
