Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-B5-A0JN,0.867,0.095,1.236
TCGA-B5-A0JS,0.695,0.22,1.004
TCGA-B5-A0JX,0.533,0.203,0.463
TCGA-B5-A0JZ,0.632,0.185,0.636
TCGA-B5-A0K1,0.546,0.203,0.49
TCGA-B5-A0K2,0.903,0.262,4.905
TCGA-B5-A0K3,0.887,0.152,2.396
TCGA-B5-A0K4,0.924,0.075,1.821
TCGA-B5-A0K6,0.912,0.135,2.818
TCGA-B5-A0K8,0.751,0.206,1.243
TCGA-B5-A0K9,0.646,0.328,1.199
TCGA-B5-A11F,0.567,0.079,0.208
TCGA-B5-A11H,0.655,0.255,0.967
TCGA-B5-A11I,0.748,0.203,1.202
TCGA-B5-A11J,0.618,0.245,0.794
TCGA-B5-A11N,0.673,0.423,1.744
TCGA-B5-A11O,0.524,0.912,2.006
TCGA-B5-A11Q,0.889,0.037,0.598
TCGA-B5-A11S,0.54,0.156,0.367
TCGA-B5-A11U,0.416,0.199,0.283
TCGA-B5-A11W,0.629,0.088,0.299
TCGA-B5-A11Y,0.578,0.478,1.313
TCGA-B5-A121,0.476,0.212,0.386
TCGA-B5-A1MU,0.664,1.139,4.498
TCGA-B5-A1MV,0.539,0.29,0.68
TCGA-B5-A1MX,0.653,0.397,1.497
TCGA-B5-A1MY,0.836,0.147,1.498
TCGA-B5-A1N2,0.719,0.107,0.551
TCGA-B5-A3F9,0.449,0.904,1.475
TCGA-B5-A3FA,0.695,0.172,0.78
TCGA-B5-A3FC,0.709,0.153,0.743
TCGA-B5-A3FD,0.862,0.08,0.995
TCGA-B5-A3FH,0.633,0.117,0.402
TCGA-B5-A3S1,0.717,0.097,0.489
TCGA-B5-A5OC,0.504,0.375,0.762
TCGA-B5-A5OD,0.896,0.133,2.301
TCGA-B5-A5OE,0.912,0.07,1.464
TCGA-BG-A0M4,0.822,0.159,1.467
TCGA-BG-A0M6,0.84,0.139,1.47
TCGA-BG-A0M7,0.806,0.153,1.27
TCGA-BG-A0MC,0.922,0.25,5.912
TCGA-BG-A0MG,0.648,0.112,0.415
TCGA-BG-A0MI,0.744,0.074,0.432
TCGA-BG-A0MK,0.67,0.229,0.932
TCGA-BG-A0MT,0.708,0.125,0.606
TCGA-BG-A0MU,0.748,0.074,0.438
TCGA-BG-A0VT,0.698,0.165,0.763
TCGA-BG-A0VV,0.608,0.276,0.857
TCGA-BG-A0VW,0.765,0.21,1.368
TCGA-BG-A0VX,0.556,0.555,1.39
TCGA-BG-A0VZ,0.615,0.141,0.451
TCGA-BG-A0YV,0.684,0.062,0.269
