Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-EM-A3AP,0.32,0.177,0.166
TCGA-EM-A3FJ,0.444,0.557,0.891
TCGA-EM-A3FP,0.555,0.288,0.718
TCGA-EM-A3O3,0.757,0.272,1.697
TCGA-EM-A3OB,0.335,0.077,0.078
TCGA-EM-A3ST,0.689,0.439,1.941
TCGA-EM-A3SU,0.55,0.458,1.119
TCGA-EM-A3SX,0.314,0.288,0.263
TCGA-EM-A4FF,0.361,0.522,0.589
TCGA-EM-A4FN,0.575,0.545,1.475
TCGA-EM-A4FQ,0.506,0.412,0.843
TCGA-EM-A4FR,0.833,0.13,1.29
TCGA-EM-A4FU,0.355,0.217,0.238
TCGA-EM-A4FV,0.294,0.667,0.556
TCGA-EM-A4G1,0.257,0.521,0.36
TCGA-ET-A25I,0.453,0.523,0.865
TCGA-ET-A25K,0.392,0.427,0.551
TCGA-ET-A25R,0.429,0.396,0.594
TCGA-ET-A2MZ,0.309,0.453,0.404
TCGA-ET-A2N4,0.481,0.158,0.293
TCGA-ET-A39J,0.335,0.316,0.319
TCGA-ET-A39M,0.617,0.654,2.107
TCGA-ET-A39O,0.39,0.381,0.488
TCGA-ET-A39R,0.405,1.438,1.954
TCGA-ET-A39S,0.294,0.652,0.544
TCGA-ET-A3BS,0.314,0.32,0.293
TCGA-ET-A3BW,0.306,0.466,0.41
TCGA-ET-A3DO,0.354,0.521,0.572
TCGA-ET-A3DP,0.382,0.39,0.483
TCGA-ET-A3DQ,0.118,0.775,0.206
TCGA-ET-A3DU,0.479,0.639,1.173
TCGA-ET-A40P,0.48,0.194,0.358
TCGA-ET-A40S,0.444,0.242,0.385
TCGA-FE-A22Z,0.55,0.141,0.345
TCGA-FE-A230,0.376,0.63,0.758
TCGA-FE-A231,0.595,0.058,0.17
TCGA-FE-A232,0.398,0.656,0.866
TCGA-FE-A235,0.669,0.11,0.444
TCGA-FE-A3PB,0.418,0.377,0.541
TCGA-FK-A3S3,0.412,0.44,0.616
TCGA-FK-A3SB,0.363,0.478,0.546
TCGA-FK-A3SG,0.503,0.432,0.872
TCGA-FK-A4UB,0.743,0.178,1.028
TCGA-FY-A3NN,0.164,0.347,0.136
TCGA-FY-A3R6,0.097,0.759,0.163
TCGA-FY-A3R7,0.168,1.482,0.598
TCGA-FY-A3W9,0.422,0.07,0.102
TCGA-FY-A40K,0.33,0.548,0.539
TCGA-FY-A40L,0.348,0.509,0.542
TCGA-FY-A4B3,0.521,0.454,0.986
TCGA-FY-A4B4,0.384,0.5,0.623
TCGA-GE-A2C6,0.427,0.42,0.625
TCGA-H2-A26U,0.486,1.224,2.312
TCGA-H2-A2K9,0.639,0.196,0.692
TCGA-H2-A3RH,0.318,0.354,0.33
TCGA-H2-A421,0.405,0.795,1.082
TCGA-IM-A3ED,0.247,0.707,0.464
TCGA-IM-A41Y,0.457,0.598,1.007
TCGA-IM-A420,0.412,0.365,0.513
TCGA-IM-A4EB,0.414,0.315,0.445
TCGA-J8-A3O2,0.23,0.652,0.389
TCGA-J8-A3YF,0.406,0.524,0.716
TCGA-J8-A3YH,0.367,0.479,0.557
TCGA-J8-A42S,0.377,0.38,0.46
TCGA-KS-A41I,0.728,0.213,1.143
TCGA-KS-A4I7,0.436,0.428,0.663
TCGA-KS-A4I9,0.39,0.479,0.612
TCGA-L6-A4EQ,0.584,0.241,0.675
TCGA-L6-A4EU,0.616,0.2,0.64
TCGA-MK-A4N7,0.421,0.321,0.468
TCGA-MK-A4N9,0.409,0.478,0.663
TCGA-MK-A84Z,0.329,0.112,0.11
