Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-KB-A93H,0.381,0.148,0.182
TCGA-KB-A93J,0.675,0.25,1.041
TCGA-MX-A663,0.496,0.758,1.494
TCGA-R5-A7ZF,0.692,0.966,4.349
TCGA-R5-A7ZR,0.59,0.176,0.506
TCGA-R5-A805,0.267,0.65,0.472
TCGA-RD-A8MV,0.397,0.888,1.171
TCGA-RD-A8MW,0.294,0.815,0.678
TCGA-RD-A8N1,0.349,0.951,1.019
TCGA-RD-A8N9,0.288,0.691,0.56
TCGA-SW-A7EA,0.123,0.247,0.069
TCGA-VQ-A8DU,0.623,0.269,0.889
TCGA-VQ-A8P3,0.5,0.375,0.748
TCGA-VQ-A8P5,0.252,0.371,0.25
TCGA-VQ-A8PC,0.429,1.042,1.566
TCGA-VQ-A8PK,0.542,0.328,0.779
TCGA-VQ-A8PM,0.356,1.251,1.383
TCGA-VQ-A8PP,0.438,0.299,0.467
TCGA-VQ-A8PU,0.449,0.149,0.243
TCGA-VQ-A8PX,0.263,0.45,0.321
TCGA-VQ-A91A,0.554,0.48,1.194
TCGA-VQ-A91Q,0.405,0.242,0.329
TCGA-VQ-A91U,0.384,0.237,0.296
TCGA-VQ-A91X,0.498,0.213,0.423
TCGA-VQ-A91Y,0.659,0.734,2.842
TCGA-VQ-A923,0.694,0.531,2.411
TCGA-VQ-A924,0.369,0.345,0.404
TCGA-VQ-A94U,0.541,0.237,0.561
TCGA-VQ-AA6G,0.349,0.31,0.332
TCGA-VQ-AA6K,0.401,0.409,0.546
TCGA-ZA-A8F6,0.659,0.672,2.598
TCGA-ZQ-A9CR,0.527,0.7,1.562
TCGA-BR-4253,0.411,0.721,1.006
TCGA-BR-4256,0.537,0.998,2.311
TCGA-BR-4267,0.622,0.183,0.604
TCGA-BR-4361,0.439,0.258,0.403
TCGA-BR-4369,0.491,0.345,0.666
TCGA-BR-6452,0.563,0.74,1.905
TCGA-BR-6455,0.383,0.246,0.304
TCGA-BR-6458,0.405,0.4,0.545
TCGA-BR-6565,0.605,0.441,1.349
TCGA-BR-7716,0.539,0.745,1.742
TCGA-BR-7851,0.689,0.298,1.317
TCGA-BR-7959,0.769,0.539,3.586
TCGA-BR-8284,0.525,0.528,1.165
TCGA-BR-8289,0.231,0.305,0.183
TCGA-BR-8361,0.38,0.309,0.379
TCGA-BR-8368,0.492,0.191,0.37
TCGA-BR-8372,0.547,0.237,0.573
TCGA-BR-8486,0.33,0.355,0.35
TCGA-BR-8591,0.594,0.798,2.338
TCGA-BR-8678,0.344,0.127,0.133
TCGA-BR-8679,0.192,0.266,0.126
TCGA-BR-8680,0.243,0.262,0.169
TCGA-BR-A4CR,0.253,0.122,0.082
TCGA-BR-A4PF,0.676,0.391,1.631
TCGA-CD-8526,0.334,0.78,0.784
TCGA-CD-8528,0.669,0.302,1.219
TCGA-CD-A486,0.233,0.193,0.118
TCGA-CD-A48C,0.564,0.173,0.447
