Sample ID,pi estimate,consensus (1-rho)/(rho*psi),TmS
TCGA-52-7622,0.498,0.775,1.539
TCGA-52-7809,0.811,0.328,2.811
TCGA-52-7811,0.61,0.776,2.425
TCGA-52-7812,0.803,0.408,3.323
TCGA-56-1622,0.85,0.101,1.142
TCGA-56-5897,0.416,1.052,1.497
TCGA-56-5898,0.53,0.511,1.153
TCGA-56-6545,0.551,0.605,1.488
TCGA-56-6546,0.747,0.759,4.471
TCGA-56-7221,0.833,0.382,3.818
TCGA-56-7222,0.827,0.257,2.465
TCGA-56-7223,0.897,0.046,0.803
TCGA-56-7579,0.831,0.272,2.665
TCGA-56-7580,0.841,0.484,5.11
TCGA-56-7582,0.761,0.209,1.325
TCGA-56-7730,0.851,0.096,1.103
TCGA-56-7731,0.385,2.062,2.577
TCGA-56-7822,0.641,0.574,2.051
TCGA-56-7823,0.835,0.07,0.712
TCGA-56-8082,0.867,0.139,1.807
TCGA-56-8083,0.836,0.068,0.689
TCGA-56-8201,0.539,1.058,2.47
TCGA-56-8304,0.856,0.559,6.67
TCGA-56-8305,0.832,0.412,4.08
TCGA-56-8307,0.815,0.297,2.615
TCGA-56-8308,0.599,0.388,1.159
TCGA-56-8309,0.349,1.144,1.225
TCGA-56-8503,0.423,1.92,2.816
TCGA-56-8504,0.725,0.492,2.601
TCGA-56-8622,0.526,0.55,1.22
TCGA-56-8624,0.587,0.664,1.885
TCGA-56-8625,0.401,0.867,1.159
TCGA-56-8626,0.511,0.656,1.373
TCGA-56-8628,0.356,0.684,0.755
TCGA-56-8629,0.788,0.242,1.801
TCGA-56-A49D,0.728,0.487,2.61
TCGA-56-A4BW,0.67,0.381,1.545
TCGA-56-A4BY,0.726,0.355,1.885
TCGA-56-A5DS,0.546,0.967,2.323
TCGA-56-A62T,0.832,0.252,2.485
TCGA-58-8386,0.593,0.531,1.548
TCGA-58-8387,0.868,0.757,9.986
TCGA-58-8388,0.656,0.249,0.948
TCGA-58-8391,0.857,0.226,2.702
TCGA-58-8393,0.564,0.818,2.113
